idx,zero_distance,random_distance,random_std,random_type,replay_distance,optimized_distance,pass,reduction_vs_random,improvement_ratio,pass_vs_shuffled,reduction_vs_shuffled,improvement_ratio_vs_shuffled
54893,0.04405174404382706,0.043393684178590776,0.004152304958552122,dataset,0.036827489733695984,0.03605639189481735,True,0.007337292283773424,0.16908664066356083,True,0.0007868014276027693,0.021355408059159153
27835,0.029693730175495148,0.02947112638503313,0.0017612784868106246,dataset,0.026716604828834534,0.02560190111398697,True,0.0038692252710461617,0.13128867965532331,True,0.0011186741292476647,0.041865645446046346
50430,0.04070097953081131,0.04265106171369552,0.003394270082935691,dataset,0.03492587432265282,0.03413188084959984,True,0.008519180864095685,0.19974135512223656,True,0.0011778850108385072,0.033358618561620916
48648,0.045600421726703644,0.044815650954842565,0.004103305749595165,dataset,0.03894469887018204,0.03817097842693329,True,0.006644672527909276,0.14826678596289103,True,0.0008056219667196274,0.02066937492195491
16155,0.036342546343803406,0.0366948451846838,0.0023385032545775175,dataset,0.030448485165834427,0.02886655554175377,True,0.00782828964293003,0.2133348595294663,True,0.0016055025160312646,0.05268769549423621
52146,0.03946901857852936,0.03986244536936283,0.003934629261493683,dataset,0.033816564828157425,0.0330323800444603,True,0.006830065324902532,0.17134085131043994,True,0.0007863573729991885,0.023252120955681167
41683,0.02642793208360672,0.025083102099597455,0.002369111869484186,dataset,0.02160956710577011,0.02129559963941574,True,0.003787502460181714,0.1509981678160333,True,0.0003224765881896033,0.01491698820905325
19322,0.043216001242399216,0.04018060117959976,0.006098294164985418,dataset,0.028686027973890305,0.02757863514125347,True,0.01260196603834629,0.31363308831587317,True,0.0010378111153841012,0.03626624725085776
37991,0.027448434382677078,0.03114448506385088,0.004296744242310524,dataset,0.024569237604737282,0.02413594350218773,True,0.00700854156166315,0.22503314944185418,True,0.0004298817366361618,0.017499177514166128
53849,0.03714258596301079,0.03847539648413658,0.004334703087806702,dataset,0.032428719103336334,0.030819198116660118,True,0.007656198367476462,0.19898945994313835,True,0.0015748634934425326,0.048615808428029414
48595,0.02193325012922287,0.023075165040791035,0.0008031288161873817,dataset,0.021746845915913582,0.020826132968068123,True,0.0022490320727229125,0.09746548155764843,True,0.0009187735617160811,0.04225235737194953
43067,0.02533085271716118,0.027181466296315192,0.0015820317203179002,dataset,0.024702847003936768,0.023192668333649635,True,0.003988797962665557,0.14674697528022215,True,0.0015163881704211221,0.061369731789285474
40749,0.021261680871248245,0.02301277909427881,0.0015890480717644095,dataset,0.020997384563088417,0.01978457346558571,True,0.0032282056286931024,0.14027882575449846,True,0.0012291258201003082,0.05849164411225569
51695,0.022465167567133904,0.0269228283315897,0.0037122920621186495,dataset,0.022294506430625916,0.02170049585402012,True,0.005222332477569581,0.19397414020732717,True,0.0005773305892944336,0.02591503218518372
34302,0.03699508681893349,0.03967683799564838,0.003864301135763526,dataset,0.03391458839178085,0.03258143737912178,True,0.007095400616526602,0.17882979024953555,True,0.0024667087942361818,0.07038057824899349
39641,0.02718247100710869,0.03101590070873499,0.004173591732978821,dataset,0.024214593693614006,0.02330200932919979,True,0.007713891379535199,0.2487076371560198,True,0.0009428713470697389,0.03888950247515984
12901,0.043858058750629425,0.05092361569404602,0.0069105238653719425,dataset,0.03881664574146271,0.03808870539069176,True,0.012834910303354263,0.2520423997476463,True,0.0007285557687282535,0.018768860732758075
15595,0.0661577433347702,0.06547294221818448,0.009834948927164078,dataset,0.04625828191637993,0.04584972560405731,True,0.019623216614127165,0.29971490434527936,True,0.0006374783813953427,0.013712986085264028
19602,0.042105529457330704,0.04314172677695751,0.006287085823714733,dataset,0.033402517437934875,0.03238632157444954,True,0.010755405202507971,0.24930400347935439,True,0.0013003174215555219,0.03860039054978824
17288,0.0561552494764328,0.0514956034719944,0.007709571626037359,dataset,0.03769686818122864,0.03634926676750183,True,0.015146336704492572,0.2941287349458837,True,0.0014015007764101028,0.03712509354359135
7118,0.025600634515285492,0.029805387929081918,0.004488423001021147,dataset,0.024134699255228043,0.023667899891734123,True,0.006137488037347795,0.20591874368322793,True,0.000468657165765763,0.01941690211446866
13292,0.06787911057472229,0.06600823141634464,0.009902950376272202,dataset,0.042270541191101074,0.04146965593099594,True,0.0245385754853487,0.37175023415750197,True,0.0009079720824956908,0.0214257410114276
53007,0.023660199716687202,0.026468640379607677,0.0022055672015994787,dataset,0.022722776979207993,0.022239919751882553,True,0.004228720627725124,0.15976342445541974,True,0.0004989631474018111,0.02194316887121638
40350,0.034653130918741226,0.03427397813647985,0.003754298435524106,dataset,0.027542082592844963,0.026591192930936813,True,0.0076827852055430385,0.2241579654089173,True,0.0010233020409941666,0.037056699462883966
37113,0.03243464231491089,0.03597577288746834,0.0024766679853200912,dataset,0.03133583068847656,0.030094176530838013,True,0.005881596356630325,0.1634876997647241,True,0.0012177363038063035,0.03889051142410464
53622,0.06151266768574715,0.055856211483478545,0.007607342209666967,dataset,0.04255356639623642,0.04152046889066696,True,0.014335742592811583,0.25665440265406986,True,0.0009820267558097867,0.023105155141429724
18710,0.021959654986858368,0.028625049628317356,0.00504937581717968,dataset,0.02093750238418579,0.020089562982320786,True,0.00853548664599657,0.2981824226272374,True,0.0008270381018519388,0.03953979418184468
42365,0.02831398881971836,0.032097573205828664,0.003147476352751255,dataset,0.02573186345398426,0.024089232087135315,True,0.008008341118693349,0.24949989419259577,True,0.0015744585543870926,0.06134965451304604
