epoch,split,action_mse,continuous_loss,gripper_loss,total_loss
32,val,1.6520837602161227,0.00932624307461083,0.15207763761281967,0.1614038806874305
33,train,0.0,0.0,0.0,0.0
33,val,1.7321963991437639,0.009144772309809923,0.15044878795742989,0.1595935602672398
34,train,0.0,0.0,0.0,0.0
34,val,1.8760479518345423,0.008805160643532872,0.1473959945142269,0.15620115515775979
35,train,0.0,0.0,0.0,0.0
35,val,2.0894167763846263,0.008766634855419397,0.1446477323770523,0.1534143672324717
36,train,0.0,0.0,0.0,0.0
36,val,2.322033337184361,0.008249124744907022,0.1432265229523182,0.1514756476972252
37,train,0.0,0.0,0.0,0.0
37,val,2.5814961932954335,0.007734282175078988,0.14243130013346672,0.1501655823085457
38,train,0.0,0.0,0.0,0.0
38,val,2.6849271683465865,0.007498811464756727,0.14173391088843346,0.14923272235319018
39,train,0.0,0.0,0.0,0.0
39,val,2.5493675413585843,0.007530232192948461,0.13851485401391983,0.1460450862068683
40,train,0.0,0.0,0.0,0.0
40,val,2.5695313044956754,0.006707242922857404,0.13417177833616734,0.14087902125902474
41,train,0.0,0.0,0.0,0.0
41,val,2.791702452160063,0.00638499204069376,0.13472924195230007,0.14111423399299383
42,train,0.0,0.0,0.0,0.0
42,val,2.8172646931239536,0.006254715844988823,0.13219310343265533,0.13844781927764416
43,train,0.0,0.0,0.0,0.0
43,val,2.691941806248256,0.006432871799916029,0.1316193789243698,0.13805225072428584
44,train,0.0,0.0,0.0,0.0
44,val,2.923015685308547,0.005975455045700073,0.13380828872323036,0.13978374376893044
45,train,0.0,0.0,0.0,0.0
45,val,3.576393172854469,0.00555746047757566,0.12827120907604694,0.1338286695536226
46,train,0.0,0.0,0.0,0.0
46,val,4.14287467229934,0.005535186035558581,0.1319628357887268,0.1374980218242854
47,train,0.0,0.0,0.0,0.0
47,val,3.7605626696632024,0.005416060797870159,0.12426289916038513,0.1296789599582553
48,train,0.0,0.0,0.0,0.0
48,val,3.2592625390915644,0.005769241135567427,0.12918990291655064,0.13495914405211806
49,train,0.0,0.0,0.0,0.0
49,val,3.3994998023623513,0.004714969196356833,0.12109607458114624,0.12581104377750307
50,train,0.0,0.0,0.0,0.0
50,val,3.8748485928490046,0.004875804879702628,0.11853252910077572,0.12340833398047835
51,train,0.0,0.0,0.0,0.0
51,val,4.052148410252163,0.004640015424229205,0.1175764687359333,0.12221648416016251
52,train,0.0,0.0,0.0,0.0
52,val,3.9733751841953824,0.004012569552287459,0.1149670984596014,0.11897966801188886
