start_t,horizon,continuous_normalized_mse,gripper_sign_accuracy,global_raw_mse,mode
64,10,0.09095124900341034,1.0,,teacher_forced
65,10,0.08983875811100006,1.0,,teacher_forced
66,10,0.09103510528802872,1.0,,teacher_forced
67,10,0.07398128509521484,1.0,,teacher_forced
68,10,0.06484368443489075,1.0,,teacher_forced
69,10,0.06066135689616203,1.0,,teacher_forced
70,10,0.05205826461315155,1.0,,teacher_forced
71,10,0.05089645832777023,1.0,,teacher_forced
72,10,0.05550505593419075,1.0,,teacher_forced
73,10,0.051056526601314545,1.0,,teacher_forced
74,10,0.04171306639909744,1.0,,teacher_forced
75,10,0.03447557985782623,1.0,,teacher_forced
76,10,0.02733665704727173,1.0,,teacher_forced
77,10,0.03323513641953468,1.0,,teacher_forced
78,10,0.0484747476875782,1.0,,teacher_forced
79,10,0.06356752663850784,1.0,,teacher_forced
80,10,0.06074550002813339,1.0,,teacher_forced
81,10,0.05087234079837799,1.0,,teacher_forced
82,10,0.04360184818506241,1.0,,teacher_forced
83,10,0.043055418878793716,1.0,,teacher_forced
84,10,0.04015568271279335,1.0,,teacher_forced
85,10,0.0353863388299942,1.0,,teacher_forced
86,10,0.06508992612361908,1.0,,teacher_forced
87,10,0.08876258879899979,1.0,,teacher_forced
88,10,0.09921245276927948,1.0,,teacher_forced
89,10,0.1027393713593483,1.0,,teacher_forced
90,10,0.10590506345033646,0.8999999761581421,,teacher_forced
91,10,0.14150796830654144,0.800000011920929,,teacher_forced
92,10,0.19174307584762573,0.699999988079071,,teacher_forced
