mode,horizon,continuous_normalized_mse,continuous_raw_mae,gripper_sign_accuracy,per_dim_mse,delta_rot_x_mse,val_demo,train_demo,variant,error_growth_slope,max_error,action_drift_norm
autoregressive_open_loop,40,9.034170150756836,0.25168895721435547,0.800000011920929,"[0.2707361578941345, 0.0413207933306694, 0.3747811019420624, 0.0326802022755146, 0.025240367278456688, 0.01118532009422779]",0.0326802022755146,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,40,9.034170150756836,0.25168895721435547,0.800000011920929,"[0.2707361578941345, 0.0413207933306694, 0.3747811019420624, 0.0326802022755146, 0.025240367278456688, 0.01118532009422779]",0.0326802022755146,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,full,9.034170150756836,0.25168895721435547,0.800000011920929,"[0.2707361578941345, 0.0413207933306694, 0.3747811019420624, 0.0326802022755146, 0.025240367278456688, 0.01118532009422779]",0.0326802022755146,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.6331555843353271,29.36247444152832,0.6723670959472656
corrupted_history_noise_0.1,10,0.9985299706459045,0.13620953261852264,1.0,"[0.04713000729680061, 0.11341969668865204, 0.06559176743030548, 0.0027839166577905416, 0.00041513919131830335, 0.0004618327657226473]",0.0027839166577905416,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.23203249275684357,2.2315616607666016,
corrupted_history_noise_0.5,10,0.36401039361953735,0.09772482514381409,1.0,"[0.04165869206190109, 0.0756547823548317, 0.0074397968128323555, 0.0002686568477656692, 0.002441247459501028, 3.2008443668019027e-05]",0.0002686568477656692,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.03512581065297127,0.47663208842277527,
corrupted_history_noise_1.0,10,0.47646719217300415,0.12231114506721497,1.0,"[0.1057363972067833, 0.09374810755252838, 0.007542598992586136, 0.00010369314259150997, 0.0014785969397053123, 6.52166418149136e-05]",0.00010369314259150997,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.023658225312829018,0.6371527314186096,
corrupted_history_noise_2.0,10,0.8940357565879822,0.19621865451335907,0.20000000298023224,"[0.21774420142173767, 0.022419312968850136, 0.23679868876934052, 0.0008809340070001781, 0.00425980007275939, 0.0005696135340258479]",0.0008809340070001781,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_10,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.027584258466959,1.2552294731140137,
teacher_forced_h1,1,0.02741301991045475,0.01524229347705841,1.0,"[0.0026830313727259636, 0.00017916415526997298, 0.00010133408068213612, 0.00011924329010071233, 7.359886240010383e-06, 6.611610842810478e-06]",0.00011924329010071233,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,5,0.02211408130824566,0.023201556876301765,1.0,"[0.0020565881859511137, 0.0017717061564326286, 0.0036032884381711483, 4.258236367604695e-05, 1.2878755114797968e-05, 2.2637850634055212e-05]",4.258236367604695e-05,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,10,0.08346223086118698,0.023165803402662277,1.0,"[0.0016134533798322082, 0.0011819021310657263, 0.0029821323696523905, 0.00022680297843180597, 9.468385542277247e-05, 0.00018817352247424424]",0.00022680297843180597,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,20,0.15409864485263824,0.027653422206640244,1.0,"[0.002870207652449608, 0.0008159894496202469, 0.0025903680361807346, 0.0005096466629765928, 0.00036484948941506445, 0.0002713299763854593]",0.0005096466629765928,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,40,0.10588448494672775,0.024214616045355797,0.949999988079071,"[0.0019528688862919807, 0.0005748174735344946, 0.00334080564789474, 0.00032591327908448875, 0.0001887343532871455, 0.00021055896650068462]",0.00032591327908448875,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,40,0.10588448494672775,0.024214616045355797,0.949999988079071,"[0.0019528688862919807, 0.0005748174735344946, 0.00334080564789474, 0.00032591327908448875, 0.0001887343532871455, 0.00021055896650068462]",0.00032591327908448875,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,full,0.10588448494672775,0.024214616045355797,0.949999988079071,"[0.0019528688862919807, 0.0005748174735344946, 0.00334080564789474, 0.00032591327908448875, 0.0001887343532871455, 0.00021055896650068462]",0.00032591327908448875,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,-0.0020397999323904514,0.3181861340999603,0.10619807988405228
autoregressive_open_loop,1,0.02741301991045475,0.01524229347705841,1.0,"[0.0026830313727259636, 0.00017916415526997298, 0.00010133408068213612, 0.00011924329010071233, 7.359886240010383e-06, 6.611610842810478e-06]",0.00011924329010071233,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,5,0.1932552307844162,0.051394980400800705,1.0,"[0.01577821746468544, 0.005706203635782003, 0.016954531893134117, 0.0007269186899065971, 9.34321269596694e-06, 7.000294863246381e-05]",0.0007269186899065971,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,10,0.5648895502090454,0.10606629401445389,1.0,"[0.016949830576777458, 0.025259125977754593, 0.1576293408870697, 0.0014988224720582366, 0.0011330436682328582, 0.0004806764773093164]",0.0014988224720582366,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,20,1.1614843606948853,0.17903073132038116,1.0,"[0.1442287713289261, 0.040279120206832886, 0.2807987332344055, 0.001975661376491189, 0.0028680290561169386, 0.0013561524683609605]",0.001975661376491189,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,40,1.5197385549545288,0.2174193412065506,0.699999988079071,"[0.26642611622810364, 0.04700031131505966, 0.3924185335636139, 0.00297795538790524, 0.0017033470794558525, 0.0008699154714122415]",0.00297795538790524,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,40,1.5197385549545288,0.2174193412065506,0.699999988079071,"[0.26642611622810364, 0.04700031131505966, 0.3924185335636139, 0.00297795538790524, 0.0017033470794558525, 0.0008699154714122415]",0.00297795538790524,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
autoregressive_open_loop,full,1.5197385549545288,0.2174193412065506,0.699999988079071,"[0.26642611622810364, 0.04700031131505966, 0.3924185335636139, 0.00297795538790524, 0.0017033470794558525, 0.0008699154714122415]",0.00297795538790524,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.041501421481370926,2.4146409034729004,0.7659532427787781
corrupted_history_noise_0.1,10,0.5534800291061401,0.10530650615692139,1.0,"[0.01726621389389038, 0.025652635842561722, 0.15312714874744415, 0.0014921484980732203, 0.0010746619664132595, 0.00043667509453371167]",0.0014921484980732203,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.14792057871818542,1.317038893699646,
corrupted_history_noise_0.5,10,0.5835908055305481,0.10281281173229218,1.0,"[0.015763549134135246, 0.02404775097966194, 0.14275774359703064, 0.0013266382738947868, 0.0012760998215526342, 0.0008203360484912992]",0.0013266382738947868,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.15883710980415344,1.4724150896072388,
corrupted_history_noise_1.0,10,0.9147628545761108,0.11725066602230072,1.0,"[0.018563028424978256, 0.01649853214621544, 0.1972789764404297, 0.002547252457588911, 0.0012267888523638248, 0.0013509371783584356]",0.002547252457588911,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.2320868819952011,2.1194937229156494,
corrupted_history_noise_2.0,10,0.4856134355068207,0.07678000628948212,0.0,"[0.01888970471918583, 0.0036324455868452787, 0.08496270328760147, 0.0010269435588270426, 0.0009865898173302412, 0.00106712500564754]",0.0010269435588270426,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_11,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,0.15355287492275238,1.588141918182373,
teacher_forced_h1,1,0.08042029291391373,0.016321800649166107,1.0,"[6.49281864752993e-05, 0.00010680106788640842, 0.002339923521503806, 0.0003379709960427135, 7.231223207782023e-06, 0.00010186272265855223]",0.0003379709960427135,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_12,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,5,0.08428047597408295,0.03228089213371277,1.0,"[0.008612360805273056, 0.006403377745300531, 0.0008306684903800488, 0.00023560253612231463, 7.179915701271966e-05, 5.515647353604436e-05]",0.00023560253612231463,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_12,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
teacher_forced_h1,10,0.08414950221776962,0.02768915519118309,1.0,"[0.004598638974130154, 0.0047953324392437935, 0.0019685192964971066, 0.00030626822263002396, 6.925025081727654e-05, 4.068090129294433e-05]",0.00030626822263002396,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_12,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,residual_gru_state,,,
