epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
32,train,0.983247,0.983247,0.000000,1.071196,0.983247,0.851111,"[0.9824236035346985, 0.9840710759162903]","[1.0620815753936768, 1.0803115367889404]",0.000000,[],1,24
32,val,0.999691,0.999691,0.000000,1.088127,0.999691,0.984163,"[0.9994634985923767, 0.9999188184738159]","[1.0735615491867065, 1.1026923656463623]",0.000000,[],1,8
33,train,0.982403,0.982403,0.000000,1.068943,0.982403,0.842206,"[0.9816009998321533, 0.9832054972648621]","[1.060288429260254, 1.0775967836380005]",0.000000,[],1,24
33,val,0.999718,0.999718,0.000000,1.086305,0.999718,0.984434,"[0.9994651079177856, 0.9999711513519287]","[1.072125792503357, 1.100484848022461]",0.000000,[],1,8
34,train,0.981580,0.981580,0.000000,1.066628,0.981580,0.834884,"[0.9811875820159912, 0.9819719195365906]","[1.0585308074951172, 1.0747246742248535]",0.000000,[],1,24
34,val,0.999744,0.999744,0.000000,1.084544,0.999744,0.984739,"[0.9994655847549438, 1.0000230073928833]","[1.0707447528839111, 1.0983439683914185]",0.000000,[],1,8
35,train,0.980492,0.980492,0.000000,1.064244,0.980492,0.826774,"[0.9798521995544434, 0.9811312556266785]","[1.056321620941162, 1.0721670389175415]",0.000000,[],1,24
35,val,0.999767,0.999767,0.000000,1.082817,0.999767,0.985082,"[0.9994597434997559, 1.0000752210617065]","[1.0693855285644531, 1.0962481498718262]",0.000000,[],1,8
36,train,0.979230,0.979230,0.000000,1.061881,0.979230,0.818368,"[0.978430449962616, 0.9800295829772949]","[1.0542259216308594, 1.069536805152893]",0.000000,[],1,24
36,val,0.999792,0.999792,0.000000,1.081189,0.999792,0.985469,"[0.9994561672210693, 1.0001277923583984]","[1.0681045055389404, 1.0942726135253906]",0.000000,[],1,8
37,train,0.977990,0.977990,0.000000,1.059593,0.977990,0.809951,"[0.9767486453056335, 0.9792315363883972]","[1.0520663261413574, 1.0671203136444092]",0.000000,[],1,24
37,val,0.999817,0.999817,0.000000,1.079597,0.999817,0.985781,"[0.9994547367095947, 1.0001802444458008]","[1.0668578147888184, 1.0923359394073486]",0.000000,[],1,8
38,train,0.976778,0.976778,0.000000,1.057401,0.976778,0.801918,"[0.9755895137786865, 0.9779669642448425]","[1.0501865148544312, 1.06461501121521]",0.000000,[],1,24
38,val,0.999840,0.999840,0.000000,1.078023,0.999840,0.986029,"[0.9994544982910156, 1.0002264976501465]","[1.0656273365020752, 1.0904181003570557]",0.000000,[],1,8
39,train,0.976151,0.976151,0.000000,1.055541,0.976151,0.793721,"[0.9747824668884277, 0.9775193333625793]","[1.0485113859176636, 1.062571406364441]",0.000000,[],1,24
39,val,0.999860,0.999860,0.000000,1.076438,0.999860,0.986294,"[0.9994614124298096, 1.0002590417861938]","[1.0643877983093262, 1.0884881019592285]",0.000000,[],1,8
40,train,0.974709,0.974709,0.000000,1.053319,0.974709,0.784782,"[0.9737098217010498, 0.9757089614868164]","[1.0467637777328491, 1.0598739385604858]",0.000000,[],1,24
40,val,0.999881,0.999881,0.000000,1.074822,0.999881,0.986549,"[0.999472975730896, 1.0002890825271606]","[1.0631273984909058, 1.0865168571472168]",0.000000,[],1,8
41,train,0.973399,0.973399,0.000000,1.051037,0.973399,0.776810,"[0.9719821810722351, 0.9748148918151855]","[1.0445125102996826, 1.0575628280639648]",0.000000,[],1,24
41,val,0.999912,0.999912,0.000000,1.073169,0.999912,0.986830,"[0.999503493309021, 1.0003200769424438]","[1.0618339776992798, 1.084503173828125]",0.000000,[],1,8
42,train,0.972373,0.972373,0.000000,1.049044,0.972373,0.768319,"[0.9711565375328064, 0.9735892415046692]","[1.0428645610809326, 1.0552239418029785]",0.000000,[],1,24
