epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
11,train_single_demo,0.1467036555,0.1467036555,raw_action_units,0.9871419668,0.9871419668,5.414199193,"[1.0194408894, 0.9524669647, 0.9726543427, 1.0040057898]","[5.4766249657, 5.3531546593, 5.3869690895, 5.4400482178]","[0.0462337546, 0.0471729822, 0.057107348, 0.0537651777]","[0.0251541194, 0.0186247211, 0.0773899406, 0.0012988222, 0.0040651131, 0.0017652354, 0.2291907221]",0,0.146703652,raw_action_units,2,96,769564,769564,true
11,eval_same_demo_teacher_forced,0.1414057439,0.1414057439,raw_action_units,0.9886357784,0.9886357784,5.416456223,"[1.0209518671, 0.9516614079, 0.9762799144, 1.0056500435]","[5.4787869453, 5.3516058922, 5.3932952881, 5.442138195]","[0.0242996886, 0.0314576589, 0.0393794812, 0.0397775285]","[0.0078086653, 0.0145231336, 0.0430914424, 0.0012874348, 0.0046609575, 0.0021864909, 0.1625419855]",0,0.1414057357,raw_action_units,2,96,769564,769564,true
12,train_single_demo,0.140292719,0.140292719,raw_action_units,0.9891982079,0.9891982079,5.417344093,"[1.0213681459, 0.9519184232, 0.9773037434, 1.0062025785]","[5.4794383049, 5.3520359993, 5.3950500488, 5.4428515434]","[0.046696227, 0.0461815596, 0.0555898696, 0.051108364]","[0.018830182, 0.0205561984, 0.095919542, 0.001267205, 0.0038129652, 0.0012472515, 0.2076246738]",0,0.1402927069,raw_action_units,2,96,769564,769564,true
12,eval_same_demo_teacher_forced,0.1346676176,0.1346676176,raw_action_units,0.9919896921,0.9919896921,5.422992229,"[1.023989439, 0.9543306828, 0.9814524055, 1.0081862211]","[5.4851536751, 5.3571801186, 5.402973175, 5.4466605186]","[0.0214888025, 0.0306257922, 0.0400280915, 0.0360518508]","[0.006975783, 0.0136615755, 0.0419333726, 0.0020480228, 0.0033527024, 0.0023990385, 0.1539699286]",0,0.1346676123,raw_action_units,2,96,769564,769564,true
13,train_single_demo,0.1336900443,0.1336900443,raw_action_units,0.9924405416,0.9924405416,5.424066226,"[1.0242625475, 0.9549925923, 0.982222259, 1.008284688]","[5.4860496521, 5.3586368561, 5.4044709206, 5.4471054077]","[0.037599545, 0.0395824276, 0.0466930084, 0.0458754115]","[0.020976916, 0.0196545403, 0.080428049, 0.0017751758, 0.0043675923, 0.0015505636, 0.1683103293]",0,0.1336900336,raw_action_units,2,96,769564,769564,true
13,eval_same_demo_teacher_forced,0.1284733489,0.1284733489,raw_action_units,0.993817687,0.993817687,5.42798392,"[1.0253516436, 0.9568631053, 0.9846746325, 1.0083810091]","[5.490049839, 5.3633027077, 5.4094023705, 5.4491791725]","[0.020700492, 0.0278480407, 0.0374231003, 0.0337056853]","[0.0065007261, 0.0125132315, 0.0402212404, 0.0021788271, 0.0033318503, 0.0029661355, 0.1417232752]",0,0.1284733443,raw_action_units,2,96,769564,769564,true
14,train_single_demo,0.1277918567,0.1277918567,raw_action_units,0.9936245282,0.9936245282,5.427888552,"[1.0253430605, 0.9566592574, 0.9844967723, 1.0079990625]","[5.4903950691, 5.3630928993, 5.4091887474, 5.4488768578]","[0.0429088436, 0.0399046205, 0.0471174605, 0.043526981]","[0.0191315543, 0.0154610602, 0.0649720579, 0.0018192615, 0.003555526, 0.0014234808, 0.1971883774]",0,0.1277918475,raw_action_units,2,96,769564,769564,true
14,eval_same_demo_teacher_forced,0.1213015417,0.1213015417,raw_action_units,0.9921699961,0.9921699961,5.426226457,"[1.0248318911, 0.9558697343, 0.9826880097, 1.0052902699]","[5.4911270142, 5.3620324135, 5.4062461853, 5.4454989433]","[0.0215322655, 0.0251591187, 0.0350391269, 0.0340923257]","[0.0063938447, 0.0122526372, 0.0409746617, 0.0014181162, 0.0041066594, 0.0022923211, 0.1352517158]",0,0.1213015375,raw_action_units,2,96,769564,769564,true
15,train_single_demo,0.1200942546,0.1200942546,raw_action_units,0.9917554855,0.9917554855,5.425501664,"[1.024549365, 0.9556706548, 0.982219398, 1.0045825243]","[5.4908008575, 5.361597538, 5.4053874016, 5.4442200661]","[0.0345816612, 0.0361262299, 0.0474562161, 0.0450520627]","[0.0185676701, 0.0117529808, 0.0732646212, 0.0021302064, 0.0041551259, 0.0012460507, 0.1745116264]",0,0.1200942511,raw_action_units,2,96,769564,769564,true
15,eval_same_demo_teacher_forced,0.1128402054,0.1128402054,raw_action_units,0.9900960525,0.9900960525,5.422563235,"[1.023552537, 0.9546895623, 0.9794035554, 1.002738595]","[5.4896864891, 5.3594412804, 5.4002270699, 5.4408969879]","[0.0215834957, 0.023746999, 0.0334441699, 0.0346059166]","[0.0065328274, 0.0123132328, 0.0369570181, 0.0010051918, 0.0044346103, 0.0017461084, 0.135427013]",0,0.112840204,raw_action_units,2,96,769564,769564,true
