epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
11,train_single_demo,0.0705686609,0.0705686609,raw_action_units,0.9953327974,0.9953327974,5.417817116,"[1.005497098, 0.9934661984, 0.9960327744, 0.9863350987]","[5.4438858032, 5.412791729, 5.4148335457, 5.3997573853]","[0.0183861963, 0.0233684387, 0.0262797046, 0.0281792823]","[0.0171959735, 0.0132049033, 0.0376915224, 0.0015948171, 0.0041136444, 0.0027569595, 0.0918160081]",0,0.07056865806,raw_action_units,2,96,769564,769564,true
11,eval_same_demo_teacher_forced,0.06252899766,0.06252899766,raw_action_units,0.997625947,0.997625947,5.419610023,"[1.0053654909, 0.9949887395, 0.9940089583, 0.99614048]","[5.441347599, 5.4126601219, 5.408208847, 5.416223526]","[0.0161787327, 0.0266685393, 0.0321149416, 0.0335397236]","[0.0072455518, 0.0094908448, 0.0567482598, 0.0012280861, 0.0054405653, 0.0030855446, 0.1066395417]",0,0.06252899624,raw_action_units,2,96,769564,769564,true
12,train_single_demo,0.06205276276,0.06205276276,raw_action_units,0.9978507757,0.9978507757,5.419414679,"[1.0054322481, 0.9947473407, 0.9938384891, 0.9973848462]","[5.440788269, 5.4115386009, 5.4074120522, 5.4179205894]","[0.0140107805, 0.0155305741, 0.0159881637, 0.0199082028]","[0.0099113462, 0.0135255298, 0.0389121249, 0.0018565846, 0.0033014321, 0.0010157833, 0.0459932052]",0,0.06205275797,raw_action_units,2,96,769564,769564,true
12,eval_same_demo_teacher_forced,0.06076179693,0.06076179693,raw_action_units,0.9990221659,0.9990221659,5.420809428,"[1.0065168142, 0.9954423308, 0.9944321513, 0.9996975064]","[5.4419174194, 5.4116721153, 5.4087929726, 5.4208545685]","[0.0148828737, 0.0238472987, 0.029619528, 0.0288926288]","[0.0071046413, 0.0143520413, 0.0358013473, 0.0025305399, 0.0047481651, 0.0014017407, 0.1042355821]",0,0.06076179232,raw_action_units,2,96,769564,769564,true
13,train_single_demo,0.06117376685,0.06117376685,raw_action_units,0.9990411599,0.9990411599,5.420793692,"[1.0067242384, 0.9960107803, 0.9942277074, 0.9992019534]","[5.4423065186, 5.4125499725, 5.4087643623, 5.4195518494]","[0.0141751682, 0.0201124791, 0.016021179, 0.0256545395]","[0.0119922385, 0.0138722062, 0.035889823, 0.0035909915, 0.0037339686, 0.0012090164, 0.0626476407]",0,0.06117376259,raw_action_units,2,96,769564,769564,true
13,eval_same_demo_teacher_forced,0.0593427817,0.0593427817,raw_action_units,0.9994990826,0.9994990826,5.422611396,"[1.0091718435, 0.9975679517, 0.9934102893, 0.9978461266]","[5.4476127625, 5.4169535637, 5.4090504646, 5.4168286324]","[0.0143947592, 0.0217865165, 0.0271530747, 0.0283127259]","[0.0075102667, 0.0116775902, 0.0314176939, 0.002371669, 0.0027843721, 0.0012939883, 0.1033268049]",0,0.05934277745,raw_action_units,2,96,769564,769564,true
14,train_single_demo,0.06006817271,0.06006817271,raw_action_units,0.9996894201,0.9996894201,5.423231761,"[1.0098224878, 0.9979519844, 0.9928095937, 0.9981737137]","[5.4490838051, 5.418076992, 5.4083061218, 5.4174599648]","[0.0182263814, 0.0218594205, 0.0219833627, 0.0247405116]","[0.0160788652, 0.0127878375, 0.0290162545, 0.0041497694, 0.003114461, 0.001052745, 0.0857169926]",0,0.06006817165,raw_action_units,2,96,769564,769564,true
14,eval_same_demo_teacher_forced,0.05646347503,0.05646347503,raw_action_units,1.000109831,1.000109831,5.426685015,"[1.0118634701, 1.0014990568, 0.9877423644, 0.9993346334]","[5.456287384, 5.4266529083, 5.4027543068, 5.421043396]","[0.0146702128, 0.0203648526, 0.0260729175, 0.0299641583]","[0.0073031769, 0.0077998117, 0.0356769077, 0.0013513494, 0.003648197, 0.0012794518, 0.1023173556]",0,0.05646347432,raw_action_units,2,96,769564,769564,true
15,train_single_demo,0.05572684854,0.05572684854,raw_action_units,0.9999881983,0.9999881983,5.427266121,"[1.0120232105, 1.0025252104, 0.9865224957, 0.9988818765]","[5.4576973915, 5.4289879799, 5.401702404, 5.4206767082]","[0.0137220323, 0.0196508486, 0.0262428764, 0.0249002352]","[0.0108121485, 0.0094011193, 0.0260517094, 0.0036152129, 0.0022698962, 0.0013565212, 0.0943963751]",0,0.05572684606,raw_action_units,2,96,769564,769564,true
15,eval_same_demo_teacher_forced,0.05191084246,0.05191084246,raw_action_units,1.000246366,1.000246366,5.433039029,"[1.0146245956, 1.0072191954, 0.9818749428, 0.9972665906]","[5.4689903259, 5.4418354034, 5.3989028931, 5.4224267006]","[0.0124985771, 0.0204522405, 0.0251966324, 0.0279406402]","[0.010126383, 0.009738639, 0.0256906506, 0.0014099944, 0.0021343206, 0.0011673517, 0.1003868207]",0,0.05191084033,raw_action_units,2,96,769564,769564,true
16,train_single_demo,0.05144717917,0.05144717917,raw_action_units,1.000258764,1.000258764,5.434466521,"[1.0153814554, 1.0076369047, 0.9818488955, 0.9961678386]","[5.4718537331, 5.4441695213, 5.4000000954, 5.4218420982]","[0.0113809453, 0.014334023, 0.0173187647, 0.020784121]","[0.0143852467, 0.0111957612, 0.023424549, 0.0016985981, 0.0015824245, 0.0008358823, 0.0585587807]",0,0.05144717722,raw_action_units,2,96,769564,769564,true
16,eval_same_demo_teacher_forced,0.04871187856,0.04871187856,raw_action_units,1.000123819,1.000123819,5.44081974,"[1.0180009604, 1.0092469454, 0.9836837649, 0.9895636439]","[5.4832949638, 5.4552598, 5.4080319405, 5.4166908264]","[0.0113387182, 0.0193347894, 0.0235988405, 0.0286964644]","[0.0078511303, 0.0076850909, 0.0256470814, 0.0017359891, 0.0013181783, 0.001776354, 0.0991815925]",0,0.04871187607,raw_action_units,2,96,769564,769564,true
