epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
11,val,0.02185141854,0.02062674752,raw_action_units,0.001224670961,0.001224670961,0.270257599,"[0.0008297089, 0.0011086093, 0.0013560366, 0.00160433]","[0.2666648328, 0.2669443488, 0.2620619237, 0.2853593826]","[0.0094517479, 0.0164975319, 0.0241158269, 0.0321238302]","[0.0095601818, 0.0076798643, 0.0106438491, 0.0003726079, 0.0010774148, 0.000924485, 0.1135722771]",0,0.02062674663,raw_action_units,190,6073,769564,769564,true
12,train,0.02263867603,0.02111460679,raw_action_units,0.001524069233,0.001524069233,0.2047188037,"[0.0009979527, 0.0013958862, 0.0017094313, 0.0019930089]","[0.2014154643, 0.2015784532, 0.196221143, 0.2196601629]","[0.0103303036, 0.01780596, 0.0248695388, 0.031405095]","[0.0113531761, 0.0071691289, 0.0118668955, 0.000503139, 0.0010943424, 0.0006624548, 0.1150699332]",0,0.02111460586,raw_action_units,1315,42067,769564,769564,true
12,val,0.0211659699,0.01993309024,raw_action_units,0.001232879626,0.001232879626,0.1784848137,"[0.0007868103, 0.0011227924, 0.0013785147, 0.0016434013]","[0.1667771935, 0.1782622188, 0.1745521873, 0.1943476796]","[0.0095662894, 0.0162929017, 0.0232850779, 0.0302411504]","[0.0088325245, 0.0073606214, 0.0091262581, 0.000376602, 0.0011207187, 0.00052991, 0.1115778238]",0,0.01993308929,raw_action_units,190,6073,769564,769564,true
13,train,0.0223156327,0.02080975963,raw_action_units,0.001505873082,0.001505873082,0.1420700667,"[0.0009874677, 0.0013811298, 0.0016888377, 0.0019660566]","[0.132825017, 0.1372999996, 0.1371239871, 0.1610312313]","[0.0101750707, 0.0175619479, 0.0244623162, 0.0309264399]","[0.0111675141, 0.0069530937, 0.0117525551, 0.0004934912, 0.0010795849, 0.0006331272, 0.1133907661]",0,0.0208097587,raw_action_units,1315,42067,769564,769564,true
13,val,0.02073746337,0.01954507848,raw_action_units,0.001192384858,0.001192384858,0.1274196891,"[0.0008040438, 0.0010951511, 0.0013162191, 0.0015541256]","[0.1078119874, 0.1227715388, 0.128380388, 0.1507148594]","[0.0092528155, 0.0159907416, 0.0226281025, 0.029899016]","[0.0100108488, 0.0077178944, 0.0097305933, 0.0003462513, 0.0009891285, 0.0005933178, 0.10671065]",0,0.01954507762,raw_action_units,190,6073,769564,769564,true
14,train,0.02214698437,0.02065289487,raw_action_units,0.001494089483,0.001494089483,0.09972658594,"[0.0009823507, 0.0013711425, 0.0016754556, 0.0019474111]","[0.0859068111, 0.0940579548, 0.0985246599, 0.1204170287]","[0.0101172971, 0.0173685905, 0.0243033394, 0.0307187829]","[0.0112203229, 0.0068701115, 0.0115879169, 0.0004820531, 0.0010720966, 0.0006014014, 0.1125551462]",0,0.02065289392,raw_action_units,1315,42067,769564,769564,true
14,val,0.02186799611,0.02062056794,raw_action_units,0.00124742816,0.00124742816,0.05500829031,"[0.0008188128, 0.0011215905, 0.001376631, 0.0016726785]","[0.038841825, 0.0508119017, 0.0572535656, 0.0731258392]","[0.0092535121, 0.017165307, 0.024083972, 0.0316673629]","[0.0087855635, 0.0091917897, 0.0087889088, 0.0003934638, 0.0012311619, 0.0006233779, 0.1147835106]",0,0.02062056708,raw_action_units,190,6073,769564,769564,true
15,train,0.02200006789,0.0205172094,raw_action_units,0.001482858493,0.001482858493,0.07164727242,"[0.0009742168, 0.0013618036, 0.0016623369, 0.0019330748]","[0.0558629073, 0.0655533373, 0.0728506818, 0.0923221037]","[0.010141952, 0.0173802804, 0.0241302103, 0.0303783007]","[0.0111684799, 0.0068068113, 0.0116851097, 0.0004723551, 0.0010425523, 0.0006150365, 0.1117632538]",0,0.02051720847,raw_action_units,1315,42067,769564,769564,true
15,val,0.02526500623,0.02405958909,raw_action_units,0.00120541711,0.00120541711,0.06226444233,"[0.0008215109, 0.0011045503, 0.0013309936, 0.0015646137]","[0.0427237004, 0.0576938018, 0.0661901012, 0.0824501961]","[0.0102203954, 0.018632248, 0.0289037675, 0.038076058]","[0.0106535703, 0.0072830534, 0.010015307, 0.0004387966, 0.001147808, 0.0005755436, 0.1375928074]",0,0.02405958806,raw_action_units,190,6073,769564,769564,true
16,train,0.02166760559,0.02020404116,raw_action_units,0.001463564424,0.001463564424,0.05467280337,"[0.0009631699, 0.0013443592, 0.0016393026, 0.0019074217]","[0.0382700041, 0.0492915772, 0.0576633736, 0.0734663159]","[0.0099442685, 0.0170823187, 0.0237154663, 0.0300100632]","[0.0108101647, 0.0066913208, 0.0115230028, 0.0004622906, 0.0010576637, 0.0005772734, 0.110194467]",0,0.02020404025,raw_action_units,1315,42067,769564,769564,true
16,val,0.02040232328,0.01914585487,raw_action_units,0.001256468334,0.001256468334,0.05087501347,"[0.0008139261, 0.0010967304, 0.001404436, 0.0017107805]","[0.0317548551, 0.0450358056, 0.0547412448, 0.071968168]","[0.0091281682, 0.0156783387, 0.0224420112, 0.0289997272]","[0.0088544749, 0.0080409814, 0.008860101, 0.0003366508, 0.0014096854, 0.0004713178, 0.1054611951]",0,0.01914585405,raw_action_units,190,6073,769564,769564,true
